feature,classifier,fold,accuracy,low_recall,med_recall,high_recall
All computed,KNN,0,0.623478883321403,0.37328094302554027,0.586239396795476,0.7598039215686274
All computed,KNN,1,0.6297887576083064,0.4027504911591356,0.5801886792452831,0.7671568627450981
All computed,KNN,2,0.6355173648406731,0.3693516699410609,0.6037735849056604,0.7736928104575164
All computed,KNN,3,0.6522206303724928,0.4153543307086614,0.6047169811320755,0.7916666666666666
All computed,KNN,4,0.6309566463633106,0.39173228346456695,0.590566037735849,0.7653311529026983
Windowed dG (slide),RF,0,0.654974946313529,0.4911591355599214,0.6211121583411876,0.7524509803921569
Windowed dG (slide),RF,1,0.6770497672753312,0.5324165029469549,0.6641509433962264,0.7483660130718954
Windowed dG (slide),RF,2,0.6824203365556749,0.5461689587426326,0.6396226415094339,0.7761437908496732
Windowed dG (slide),RF,3,0.6672636103151862,0.5688976377952756,0.6216981132075472,0.7475490196078431
Windowed dG (slide),RF,4,0.6839842350412039,0.5492125984251969,0.6575471698113208,0.7628781684382666
Windowed dG (slide),KNN,0,0.6463851109520401,0.43222003929273084,0.588124410933082,0.7859477124183006
Windowed dG (slide),KNN,1,0.6383816684568564,0.4538310412573674,0.6,0.7483660130718954
Windowed dG (slide),KNN,2,0.6512710347296814,0.45579567779960706,0.6103773584905661,0.7679738562091504
Windowed dG (slide),KNN,3,0.6640401146131805,0.4744094488188976,0.6160377358490566,0.7843137254901961
Windowed dG (slide),KNN,4,0.6549623790756002,0.46062992125984253,0.6160377358490566,0.7694194603434178
Codon-pair bias,RF,0,0.40694345025053685,0.25147347740667975,0.38454288407163056,0.4910130718954248
Codon-pair bias,RF,1,0.41747225205871824,0.22986247544204322,0.39905660377358493,0.511437908496732
Codon-pair bias,RF,2,0.40816326530612246,0.24950884086444008,0.41415094339622643,0.46895424836601307
Codon-pair bias,RF,3,0.4043696275071633,0.2578740157480315,0.3858490566037736,0.4812091503267974
Codon-pair bias,RF,4,0.412396990326048,0.23622047244094488,0.4169811320754717,0.48160261651676206
Codon-pair bias,KNN,0,0.4341445955619184,0.14341846758349705,0.4429783223374175,0.5473856209150327
Codon-pair bias,KNN,1,0.45864661654135336,0.14931237721021612,0.46037735849056605,0.5857843137254902
Codon-pair bias,KNN,2,0.45936269244539923,0.14538310412573674,0.4660377358490566,0.5841503267973857
Codon-pair bias,KNN,3,0.4487822349570201,0.1279527559055118,0.45660377358490567,0.5751633986928104
Codon-pair bias,KNN,4,0.43998566821927626,0.13385826771653545,0.4556603773584906,0.553556827473426
5prime ramp,RF,0,0.3815318539727989,0.21414538310412573,0.3760603204524034,0.45588235294117646
5prime ramp,RF,1,0.3777300393841747,0.2357563850687623,0.3584905660377358,0.4534313725490196
5prime ramp,RF,2,0.3967060508413892,0.23772102161100198,0.4056603773584906,0.4550653594771242
5prime ramp,RF,3,0.40114613180515757,0.25984251968503935,0.38018867924528305,0.47794117647058826
5prime ramp,RF,4,0.39304908634897884,0.234251968503937,0.38018867924528305,0.47015535568274736
5prime ramp,KNN,0,0.44667143879742305,0.19646365422396855,0.43355325164938735,0.5620915032679739
5prime ramp,KNN,1,0.46509129967776586,0.21414538310412573,0.4386792452830189,0.5923202614379085
5prime ramp,KNN,2,0.4658073755818117,0.1944990176817289,0.4349056603773585,0.6053921568627451
5prime ramp,KNN,3,0.44054441260744986,0.2204724409448819,0.40849056603773587,0.559640522875817
5prime ramp,KNN,4,0.46506628448584736,0.21653543307086615,0.439622641509434,0.5903515944399019
UTR+CDS init fold,RF,0,0.48067287043664997,0.449901768172888,0.27238454288407166,0.6740196078431373
UTR+CDS init fold,RF,1,0.4847833870390261,0.6090373280943026,0.2330188679245283,0.6511437908496732
UTR+CDS init fold,RF,2,0.4883637665592553,0.5324165029469549,0.27264150943396226,0.6568627450980392
UTR+CDS init fold,RF,3,0.47242120343839544,0.6299212598425197,0.19622641509433963,0.6462418300653595
UTR+CDS init fold,RF,4,0.4772482981010391,0.5236220472440944,0.26132075471698113,0.6451349141455437
UTR+CDS init fold,KNN,0,0.1893342877594846,1.0,0.01885014137606032,0.0
UTR+CDS init fold,KNN,1,0.18653777300393842,0.9960707269155207,0.013207547169811321,0.0
UTR+CDS init fold,KNN,2,0.19011815252416756,0.9980353634577603,0.02169811320754717,0.0
UTR+CDS init fold,KNN,3,0.18696275071633237,0.9901574803149606,0.017924528301886792,0.0
UTR+CDS init fold,KNN,4,0.18738803296309567,0.9940944881889764,0.016981132075471698,0.0
mRNA stability,RF,0,0.4581245526127416,0.38703339882121807,0.3883129123468426,0.548202614379085
mRNA stability,RF,1,0.4496956677407805,0.37721021611001965,0.39716981132075474,0.5253267973856209
mRNA stability,RF,2,0.4547081990691013,0.3713163064833006,0.39339622641509436,0.5424836601307189
mRNA stability,RF,3,0.4491404011461318,0.41338582677165353,0.41415094339622643,0.494281045751634
mRNA stability,RF,4,0.46219992834109636,0.3779527559055118,0.39811320754716983,0.552739165985282
mRNA stability,KNN,0,0.5204008589835362,0.28487229862475444,0.48350612629594725,0.6503267973856209
mRNA stability,KNN,1,0.5073397780164698,0.3005893909626719,0.47924528301886793,0.6176470588235294
mRNA stability,KNN,2,0.518796992481203,0.2907662082514735,0.5009433962264151,0.6290849673202614
mRNA stability,KNN,3,0.5182664756446992,0.3188976377952756,0.5037735849056604,0.613562091503268
mRNA stability,KNN,4,0.5094948047294876,0.28937007874015747,0.45943396226415095,0.6443172526573998
Stall sites,RF,0,0.43736578382247676,0.3104125736738703,0.2412818096135721,0.6601307189542484
Stall sites,RF,1,0.44289294665234513,0.3025540275049116,0.22924528301886793,0.6862745098039216
Stall sites,RF,2,0.43071965628356607,0.2966601178781925,0.2179245283018868,0.670751633986928
Stall sites,RF,3,0.4355300859598854,0.3110236220472441,0.22358490566037736,0.670751633986928
Stall sites,RF,4,0.44141884629165173,0.2618110236220472,0.2339622641509434,0.695829926410466
Stall sites,KNN,0,0.190050107372942,0.9724950884086444,0.03204524033930255,0.0016339869281045752
Stall sites,KNN,1,0.19011815252416756,0.9862475442043221,0.02547169811320755,0.0016339869281045752
Stall sites,KNN,2,0.19047619047619047,0.9901768172888016,0.024528301886792454,0.0016339869281045752
Stall sites,KNN,3,0.1923352435530086,0.9940944881889764,0.029245283018867925,0.0008169934640522876
Stall sites,KNN,4,0.18917950555356502,0.9901574803149606,0.01981132075471698,0.003270645952575634
