feature_A,feature_B,agree_pred,both_correct,A_only_right,B_only_right,jaccard_correct,jaccard_wrong,oracle_either
Codon identity,mRNA dG (scalar),0.5648499606101841,0.41789013822244503,0.301296283033732,0.08064169591062093,0.5224749283667621,0.343873031496063,0.7998281171667979
Codon identity,CAI + mRNA dG,0.7555682876172742,0.5601948005442956,0.1589916207118814,0.06008737377354437,0.7188677511258157,0.50187265917603,0.7792737950297214
Codon identity,All computed,0.8405786722051135,0.6262264556327437,0.09295996562343337,0.0501324930172599,0.8140011171104078,0.6171680398543782,0.7693189142734369
Codon identity,Windowed dG (slide),0.840793525746616,0.6244360094535558,0.09475041180262121,0.04870013607390962,0.8131878380899086,0.6180396643783371,0.7678865573300867
Codon identity,Codon-pair bias,0.46565924228317696,0.3260760581536919,0.39311036310248515,0.08379288118599156,0.40608276846236174,0.29234856535600423,0.8029793024421686
Codon identity,5prime ramp,0.4489722838931462,0.3088877748334885,0.41029864642268854,0.08114302084079353,0.38595078299776286,0.2889119170984456,0.8003294420969705
Codon identity,UTR+CDS init fold,0.5410728353505694,0.40012891212490154,0.3190575091312755,0.08057007806345341,0.5003134234798962,0.333810888252149,0.7997564993196304
Codon identity,mRNA stability,0.5170808565494521,0.3724844231182411,0.34670199813793595,0.08228890639547375,0.46474845858278974,0.3163661264551472,0.8014753276516507
Codon identity,Stall sites,0.4592852538852682,0.344338609181408,0.374847812074769,0.09324643701210342,0.423836389280677,0.2860731840524304,0.8124328582682805
CAI,mRNA dG (scalar),0.5074124471818378,0.3598796820167586,0.28138652152116306,0.13865215211630738,0.46143250688705234,0.34381293354217946,0.7799183556542291
CAI,CAI + mRNA dG,0.7951729571009095,0.5406431282675643,0.10062307527035737,0.07963904605027573,0.7499503278362806,0.607577174929841,0.7209052495881973
CAI,All computed,0.7244145240994055,0.5376351786865287,0.10363102485139297,0.1387237699634749,0.6892847305114315,0.4758364312267658,0.7799899735013965
CAI,Windowed dG (slide),0.6684093676144095,0.5084150970421829,0.13285110649573872,0.16472104848528255,0.6307979385107517,0.3946678321678322,0.8059872520232042
CAI,Codon-pair bias,0.4526964119458569,0.29134140227744754,0.3499248012604741,0.11852753706223591,0.3834480158356113,0.33895907023749366,0.7597937406001576
CAI,5prime ramp,0.43887416744252666,0.2768029793024422,0.3644632242354795,0.11322781637183986,0.36687233032747985,0.33947316300257474,0.7544940199097615
CAI,UTR+CDS init fold,0.4880040105994414,0.34362243070973286,0.29764377282818877,0.13707655947862207,0.4414795730585204,0.33769776322967815,0.7783427630165437
CAI,mRNA stability,0.48112869727136004,0.32643414738952947,0.31483205614839216,0.12833918212418535,0.4241578261678764,0.3420520999468368,0.769605385662107
CAI,Stall sites,0.45398553319487217,0.3133280813578744,0.32793812218004725,0.12425696483563704,0.40929927963326784,0.34146850229453485,0.7655231683735587
mRNA dG (scalar),CAI + mRNA dG,0.5696483563704076,0.37900164721048485,0.1195301869225811,0.24128052710735515,0.5122942884801549,0.4189828162841656,0.7398123612404212
mRNA dG (scalar),All computed,0.5790302943493518,0.40721907899448545,0.09131275513858053,0.26913986965551817,0.5304599309637092,0.39192944303491606,0.7676717037885841
mRNA dG (scalar),Windowed dG (slide),0.5498818305521737,0.39311036310248515,0.10542147103058082,0.28002578242498033,0.5049213503817496,0.3648808118952089,0.7785576165580462
mRNA dG (scalar),Codon-pair bias,0.3908185919931247,0.21915061233259328,0.2793812218004727,0.19071832700709015,0.3179551122194514,0.3979638631569293,0.6892501611401561
mRNA dG (scalar),5prime ramp,0.41094320704719617,0.21743178400057295,0.281100050132493,0.17259901167370909,0.32397823071177034,0.4202434336963485,0.6711308458067751
mRNA dG (scalar),UTR+CDS init fold,0.8872018907111652,0.44324285611974507,0.055288978013320916,0.0374561340686099,0.8269641902725815,0.8334190892719321,0.5359879682016758
mRNA dG (scalar),mRNA stability,0.5505980090238487,0.3028718756714173,0.19565995846164863,0.1519014538422975,0.4656463334067386,0.5014382576535854,0.6504332879753635
mRNA dG (scalar),Stall sites,0.415240277877247,0.2503759936976295,0.2481558404354365,0.18720905249588196,0.3651174934725849,0.4192223177605809,0.6857408866289479
CAI + mRNA dG,All computed,0.7799183556542291,0.5521736016615341,0.06810857265630595,0.12418534698846953,0.7417027417027418,0.5706061090676475,0.7444675213063096
CAI + mRNA dG,Windowed dG (slide),0.7238415813220654,0.5247439661963761,0.09553820812146387,0.1483921793310893,0.6826609522034846,0.48673899939722726,0.7686743536489293
CAI + mRNA dG,Codon-pair bias,0.4547017116665473,0.28296211415884837,0.33732006015899163,0.12690682518083507,0.37870219495830537,0.3525769077107471,0.7471889994986751
CAI + mRNA dG,5prime ramp,0.4509059657666691,0.27279237986106136,0.34748979445677863,0.11723841581322066,0.3698776461448825,0.3609415008863502,0.7375205901310606
